id,title,summary,content,created_date,modified_date,published_date,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
932111,Govt urged to reconsider decision to suspend umrah travel,"KUALA LUMPUR (Jan 1): Several travel agencies offering umrah packages have urged the government to reconsider its decision to temporarily suspend the permission to perform the pilgrimage.
TH Travel &amp; Services Sdn Bhd (THTS) chief executive officer Datuk Ahmad Ruzman Ahmad ...","<p>KUALA LUMPUR (Jan 1): Several travel agencies offering umrah packages have urged the government to reconsider its decision to temporarily suspend the permission to perform the pilgrimage.</p>
<p>TH Travel &amp; Services Sdn Bhd (THTS) chief executive officer Datuk Ahmad Ruzman Ahmad Razali said the suspension would result in prospective pilgrims who had made bookings and payments incurring high costs.</p>
<p>“The umrah visa will only be issued after travel agencies made payments which include hotel and transportation costs through the e-wallet system provided by Saudi Arabia’s Hajj and Umra",2022-01-01 22:10:22,2022-01-01 22:10:22,2022-01-01 21:50:00,,,https://assets.theedgemarkets.com/Muslim-Haj-Umrah-pilgrims-return-to-empty-quiet-Mecca-Mekkah-Covid-19_2021122617502022_reuters.jpg?2qveX2kR_hCKSld1d7WJltxo2b_loXdQ,https://assets.theedgemarkets.com/Muslim-Haj-Umrah-pilgrims-return-to-empty-quiet-Mecca-Mekkah-Covid-19_2021122617502022_reuters.jpg?2qveX2kR_hCKSld1d7WJltxo2b_loXdQ,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932107,Stern action against those imposing conditions on sale of cooking oil packs — KPDNHEP,"KOTA BHARU (Jan 1): The Domestic Trade and Consumer Affairs Ministry (KPDNHEP) has warned that stern action will be taken against traders, including wholesalers and suppliers, who try to impose conditions on the sale of cooking oil packs.
Kelantan KPDNHEP chief ...","<p>KOTA BHARU (Jan 1): The Domestic Trade and Consumer Affairs Ministry (KPDNHEP) has warned that stern action will be taken against traders, including wholesalers and suppliers, who try to impose conditions on the sale of cooking oil packs.</p>
<p>Kelantan KPDNHEP chief enforcement officer Azanizam Affendi Juri said the ministry would not tolerate those involved in such misconduct in accordance with the provisions under Section 19 of the Control of Supplies Act 1961.</p>
<p>He said, however, it has yet to receive any official complaints from the public about traders imposing conditions on pur",2022-01-01 21:10:39,2022-01-01 21:10:39,2022-01-01 21:09:00,,,https://assets.theedgemarkets.com/20210615_LEI_COOKINGOIL_SB-6_20220101210600_theedgemarkets.jpg?1MxJVX2FPuaxEPIzAC.iCRb1.mJ8pwWO,https://assets.theedgemarkets.com/20210615_LEI_COOKINGOIL_SB-6_20220101210600_theedgemarkets.jpg?1MxJVX2FPuaxEPIzAC.iCRb1.mJ8pwWO,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932105,"Health DG: 98.6% of 3,386 new Covid-19 cases on Jan 1 in Categories 1 and 2","KUALA LUMPUR (Jan 1): A total of 3,386 new Covid-19 infections were reported on the first day of 2022, taking the cumulative number of cases in the country to 2,761,472. 
Health director-general Tan Sri Dr Noor Hisham Abdullah said of the new cases, 46 (1.4%) were ...","<p>KUALA LUMPUR (Jan 1): A total of 3,386 new Covid-19 infections were reported on the first day of 2022, taking the cumulative number of cases in the country to 2,761,472. </p>
<p>Health director-general Tan Sri Dr Noor Hisham Abdullah said of the new cases, 46 (1.4%) were in Categories 3, 4 and 5, while 3,340 (98.6%) were in Categories 1 and 2. </p>
<p>He said 3,040 of the new cases involved local transmissions while 346 were import cases. Meanwhile, 3,547 recoveries were also reported, bringing the total to 2,688,925. </p>
<p>“There are 273 cases in the intensive care unit, with 159 of them",2022-01-01 20:20:37,2022-01-01 20:20:37,2022-01-01 20:19:00,,,https://assets.theedgemarkets.com/20210914_PEO_PHOTOS-PEOPLE-DAILY-RUTINE-3_SY_1.jpg?h72CIFDjxtVkv2DZNH_fUYUdAVx5VqpU,https://assets.theedgemarkets.com/20210914_PEO_PHOTOS-PEOPLE-DAILY-RUTINE-3_SY_1.jpg?h72CIFDjxtVkv2DZNH_fUYUdAVx5VqpU,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932103,Sinovac booster dose can activate cellular immunity against Omicron variant,"KUALA LUMPUR (Jan 1): Preliminary results of a study conducted by the Pontifical Catholic University in Chile (UC) showed that the Covid-19 Sinovac vaccine booster dose could activate cellular immunity against the Omicron variant, on subjects who were given two doses ...","<p>KUALA LUMPUR (Jan 1): Preliminary results of a study conducted by the Pontifical Catholic University in Chile (UC) showed that the Covid-19 Sinovac vaccine booster dose could activate cellular immunity against the Omicron variant, on subjects who were given two doses of the same vaccine previously.</p>
<p>The objective of the study led by Millennium Institute on Immunology and Immunotherapy director Prof Dr Alexis M Kalergis is to assess whether the immunity activated by the Sinovac vaccine booster dose is able to recognise the Omicron variant.</p>
<p>Dr Alexis, in a statement released by P",2022-01-01 20:10:37,2022-01-01 20:10:37,2022-01-01 19:48:00,,,https://assets.theedgemarkets.com/SAM-9056.jpg?WcKFrhnY_lG6D5dHA0siM0iZ7iizwaGI,https://assets.theedgemarkets.com/SAM-9056.jpg?WcKFrhnY_lG6D5dHA0siM0iZ7iizwaGI,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932073,PM: Govt seeking long-term solutions to flood problem,"TEMERLOH (Jan 1): The government is focusing on seeking comprehensive long-term solutions to the flood problem, to reduce risks and the number of affected locations in future disasters, said Datuk Seri Ismail Sabri Yaakob.  
The prime minister said this will be ...","<p>TEMERLOH (Jan 1): The government is focusing on seeking comprehensive long-term solutions to the flood problem, to reduce risks and the number of affected locations in future disasters, said Datuk Seri Ismail Sabri Yaakob.  </p>
<p>The prime minister said this will be the main agenda of the National Disaster Management Committee once the post-flood operations are completed, and it will involve state governments, government ministries and agencies, as well as experts in related fields.</p>
<p>""We will seek out and discuss whatever modules that are suitable to resolve this problem, and if it ",2022-01-01 16:20:43,2022-01-01 16:20:43,2022-01-01 16:09:00,,,https://assets.theedgemarkets.com/ismail-sabri_20210828160557_facebook@ismailsabri60_23.jpg?PitQKN4VvugYZG5Ys.OQxf0wHDdpCg8H,https://assets.theedgemarkets.com/ismail-sabri_20210828160557_facebook@ismailsabri60_23.jpg?PitQKN4VvugYZG5Ys.OQxf0wHDdpCg8H,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932071,"Continuous rain warning for east coast, Klang Valley, five other states","KUALA LUMPUR (Jan 1): The Malaysian Meteorological Department (MetMalaysia) has issued an orange alert of continuous heavy rain forecast for the states of Pahang, Negeri Sembilan, Melaka and Johor.
MetMalaysia, in its latest statement on Saturday (Jan 1), said continuous heavy rain ...","<p>KUALA LUMPUR (Jan 1): The Malaysian Meteorological Department (MetMalaysia) has issued an orange alert of continuous heavy rain forecast for the states of Pahang, Negeri Sembilan, Melaka and Johor.</p>
<p>MetMalaysia, in its latest statement on Saturday (Jan 1), said continuous heavy rain is expected to occur in Jerantut, Maran, Kuantan, Bera, Pekan and Rompin in Pahang; Kuala Pilah, Rembau, Jempol and Tampin in Negeri Sembilan; Tangkak, Segamat, Muar, Batu Pahat, Kluang, Mersing and Kota Tinggi in Johor; and all over Melaka until Jan 3.</p>
<p>MetMalaysia also issued a yellow alert of cont",2022-01-01 15:50:29,2022-01-01 15:50:29,2022-01-01 15:24:00,,,https://assets.theedgemarkets.com/Rain-1_pexels_04012021_0_0_0.jpg?NLeo8seaqNA5mJAm2u5.pYTxmjktTzHe,https://assets.theedgemarkets.com/Rain-1_pexels_04012021_0_0_0.jpg?NLeo8seaqNA5mJAm2u5.pYTxmjktTzHe,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932069,RCEP mega trade pact enters into force for 10 participating countries,"JAKARTA (Jan 1): The Regional Comprehensive Economic Partnership (RCEP) agreement enters into force on Saturday (Jan 1) for 10 participating countries, paving the way for the creation of the world’s largest free trade area.
The countries are Australia, Brunei, Cambodia, China, Japan, ...","<p>JAKARTA (Jan 1): The Regional Comprehensive Economic Partnership (RCEP) agreement enters into force on Saturday (Jan 1) for 10 participating countries, paving the way for the creation of the world’s largest free trade area.</p>
<p>The countries are Australia, Brunei, Cambodia, China, Japan, Laos, New Zealand, Singapore, Thailand, and Vietnam, according to the ASEAN Secretariat.</p>
<p>“The RCEP agreement will also enter into force on Feb 1, 2022 for South Korea,” the secretariat said in a statement. “As for the remaining signatory states, the agreement will enter into force 60 days after th",2022-01-01 15:00:39,2022-01-01 15:00:39,2022-01-01 14:51:00,,,https://assets.theedgemarkets.com/containers4_reuters_0.jpg?_lNQIUXCEtJq.gFUzW1TGDnUHbLbd510,https://assets.theedgemarkets.com/containers4_reuters_0.jpg?_lNQIUXCEtJq.gFUzW1TGDnUHbLbd510,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932067,Penang eyes more diversified investments in 2022,"GEORGE TOWN (Jan 1): The Penang government wants to diversify investments beyond the electrical and electronics (E&amp;E) industry in the state as it aims to expand job opportunities and attract more foreign investments in the new year.
“We want ...","<p>GEORGE TOWN (Jan 1): The Penang government wants to diversify investments beyond the electrical and electronics (E&amp;E) industry in the state as it aims to expand job opportunities and attract more foreign investments in the new year.</p>
<p>“We want more diversified investments as all this while the E&amp;E sector has been the main draw, so we are hoping that investments from the industry will expand into related segments such as medical devices and new technologies to ensure that the services sector expands as well, as in the past two or three decades the services and manufacturing sect",2022-01-01 15:00:38,2022-01-01 15:00:38,2022-01-01 14:41:00,,,https://assets.theedgemarkets.com/20180620_PEO_CHIEF-MINISTER-PENANG_CHOW-KON-YEOW9_LYY_TEP_20220101143829_edgeprop.my_.jpg?yFMFO0h6.4tz5eWS7YMdFZng2VEryzJU,https://assets.theedgemarkets.com/20180620_PEO_CHIEF-MINISTER-PENANG_CHOW-KON-YEOW9_LYY_TEP_20220101143829_edgeprop.my_.jpg?yFMFO0h6.4tz5eWS7YMdFZng2VEryzJU,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932065,MOTAC offers 40% discount for tour operators to pay compound,"KUALA LUMPUR (Jan 1): The Ministry of Tourism, Arts and Culture (MOTAC) is giving a 40% discount in compound payment to licensed tourism operators and tour guides.
The ministry, in a statement on Saturday, said the compound payment period has also been ...","<p>KUALA LUMPUR (Jan 1): The Ministry of Tourism, Arts and Culture (MOTAC) is giving a 40% discount in compound payment to licensed tourism operators and tour guides.</p>
<p>The ministry, in a statement on Saturday, said the compound payment period has also been extended until June 30 for all compounds issued them.</p>
<p>""The ministry hopes that this initiative can help ease the burden of industry players affected by the outbreak of Covid-19.</p>
<p>“Nevertheless, failure to settle the compounds issued could result in action being taken against the relevant companies or tour guides,” it said.",2022-01-01 14:30:45,2022-01-01 14:30:45,2022-01-01 14:09:00,,,https://assets.theedgemarkets.com/Travel-2_theedgemarkets_121546_9.jpg?9bVzgPZBiCVkCNwDkVXB6f2oBxI4vv7g,https://assets.theedgemarkets.com/Travel-2_theedgemarkets_121546_9.jpg?9bVzgPZBiCVkCNwDkVXB6f2oBxI4vv7g,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
932061,Tengku Zafrul: Eligible individuals can register for Bantuan Keluarga Malaysia from Jan 1 to 31,"KUALA LUMPUR (Jan 1): Individuals who are eligible for the Bantuan Keluarga Malaysia (BKM) initiative can register or update their information from Saturday (Jan 1) until Jan 31, said Finance Minister Tengku Datuk Seri Zafrul Tengku Abdul Aziz.
He said this is to ...","<p>KUALA LUMPUR (Jan 1): Individuals who are eligible for the Bantuan Keluarga Malaysia (BKM) initiative can register or update their information from Saturday (Jan 1) until Jan 31, said Finance Minister Tengku Datuk Seri Zafrul Tengku Abdul Aziz.</p>
<p>He said this is to ensure that those eligible and not in the government database could submit their applications while existing recipients who have any changes in information will have the opportunity to make updates.</p>
<p>“The BKM in 2022 will benefit over 9.6 million recipients with an allocation of RM8.2 billion, an increase from 8.6 mill",2022-01-01 13:50:21,2022-01-01 13:50:21,2022-01-01 13:41:00,,,https://assets.theedgemarkets.com/tengku-zafrul_20210710165222_facebook@tzafrulaziz_8.jpg?4pvQ5KXN3unhpBjCrbxuZZa7VrJw6SCv,https://assets.theedgemarkets.com/tengku-zafrul_20210710165222_facebook@tzafrulaziz_8.jpg?4pvQ5KXN3unhpBjCrbxuZZa7VrJw6SCv,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
